2026-06-22 14:46:01 WARNING sepa.intraday  intraday GRDN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:01 WARNING sepa.intraday  intraday PDFS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:02 WARNING sepa.intraday  intraday WERN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:02 WARNING sepa.intraday  intraday DXPE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:02 WARNING sepa.intraday  intraday WTTR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:02 WARNING sepa.intraday  intraday TSAT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:03 WARNING sepa.intraday  intraday OUST: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:03 WARNING sepa.intraday  intraday NESR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:03 WARNING sepa.intraday  intraday AYA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:04 WARNING sepa.intraday  intraday CHRN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:04 WARNING sepa.intraday  intraday CTOS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:04 WARNING sepa.intraday  intraday BW: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:04 WARNING sepa.intraday  intraday ALGT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:05 WARNING sepa.intraday  intraday AXGN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:05 WARNING sepa.intraday  intraday WS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:05 WARNING sepa.intraday  intraday GRC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:05 WARNING sepa.intraday  intraday KOD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:06 WARNING sepa.intraday  intraday PGNY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:06 WARNING sepa.intraday  intraday MD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:06 WARNING sepa.intraday  intraday ASTH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:06 WARNING sepa.intraday  intraday AGL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:07 WARNING sepa.intraday  intraday TRVI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:07 WARNING sepa.intraday  intraday PLPC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:07 WARNING sepa.intraday  intraday TILE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:08 WARNING sepa.intraday  intraday MBX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:08 WARNING sepa.intraday  intraday TH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:08 WARNING sepa.intraday  intraday AIP: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:09 WARNING sepa.intraday  intraday RAPP: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:09 WARNING sepa.intraday  intraday FTRE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:09 WARNING sepa.intraday  intraday ANAB: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:10 WARNING sepa.intraday  intraday LWLG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:10 WARNING sepa.intraday  intraday TTI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:10 WARNING sepa.intraday  intraday CMPS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:10 WARNING sepa.intraday  intraday RYZ: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:11 WARNING sepa.intraday  intraday PVLA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:11 WARNING sepa.intraday  intraday GIII: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:11 WARNING sepa.intraday  intraday NEO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:12 WARNING sepa.intraday  intraday STAA: float() argument must be a string or a real number, not 'Series'
